id,scientific_name,genus,species,author,family,common_names,country,elevation_meters,observation_date
18164,Dendrobium scotiiforme J. J. Sm.,Dendrobium,scotiiforme,"",,"",,,
30070,Maxillaria nivea (Lindl.) L. O. Williams,Maxillaria,nivea,"",,"",,,
17556,Dendrobium isochiloides Kraenzl.,Dendrobium,isochiloides,"",,"",,,
20009,Bulbophyllum plumatum Ames,Bulbophyllum,plumatum,"",,"",,,
20449,Bulbophyllum tokioi Fukuy.,Bulbophyllum,tokioi,"",,"",,,
16926,Dendrobium albopurpureum (Seidenf.) Schuit. &amp; Peter B. Adams,Dendrobium,albopurpureum,"",,"",,,
28467,Oncidium koenigeri M. W. Chase &amp; N. H. Williams,Oncidium,koenigeri,"",,"",,,
19559,Bulbophyllum lonchophyllum Schltr.,Bulbophyllum,lonchophyllum,"",,"",,,
40076,Pleurothallis muriculata Luer &amp; Hirtz,Pleurothallis,muriculata,"",,"",,,
19245,Bulbophyllum grandimesense B. Gray &amp; D. L. Jones,Bulbophyllum,grandimesense,"",,"",,,
32367,Epidendrum cyclolobum H&aacute;gsater &amp; E. Santiago,Epidendrum,cyclolobum,"",,"",,,
33165,Epidendrum panchrysum Rchb.f. &amp; Warsz.,Epidendrum,panchrysum,"",,"",,,
31985,Epidendrum angelguachisacae H&aacute;gsater &amp; H. Medina,Epidendrum,angelguachisacae,"",,"",,,
33529,Epidendrum sonia-juaniorum Zambrano &amp; H&aacute;gsater,Epidendrum,sonia-juaniorum,"",,"",,,
32114,Epidendrum brachyanthum H&aacute;gsater &amp; Dodson,Epidendrum,brachyanthum,"",,"",,,
32765,Epidendrum labrychilum H&aacute;gsater,Epidendrum,labrychilum,"",,"",,,
28651,Oncidium x acuminatissimum (Rchb.f.) M. W. Chase &amp; N. H. Williams,Oncidium,x,"",,"",,,
34393,Cattleya viridiflora (Verola &amp; Semir) Van den Berg,Cattleya,viridiflora,"",,"",,,
34360,Cattleya perrinii Lindl.,Cattleya,perrinii,"",,"",,,
19922,Bulbophyllum pauciflorum Ames,Bulbophyllum,pauciflorum,"",,"",,,
18748,Bulbophyllum callipes J. J. Sm.,Bulbophyllum,callipes,"",,"",,,
28496,Oncidium maizifolium Lindl.,Oncidium,maizifolium,"",,"",,,
20482,Bulbophyllum trifolium Ridl.,Bulbophyllum,trifolium,"",,"",,,
25473,Phalaenopsis Blume,Phalaenopsis,"","",,"",,,
25516,Phalaenopsis marriottiana (Rchb.f.) Kocyan &amp; Schuit.,Phalaenopsis,marriottiana,"",,"",,,
19852,Bulbophyllum orectopetalum Garay,Bulbophyllum,orectopetalum,"",,"",,,
17539,Dendrobium inflatum Rolfe,Dendrobium,inflatum,"",,"",,,
14425,Aa hieronymi (Cogn.) Schltr.,Aa,hieronymi,"",,"",,,
556,Cleistesiopsis divaricata (L.) Pansarin & F. Barros,Cleistesiopsis,divaricata L.,,,,,,
14692,Pelexia lindmanii Kraenzl.,Pelexia,lindmanii,"",,"",,,
580,Cleistes mantiqueirae Rchb.f. & Warm.,Cleistes,mantiqueirae Rchb.f.,,,,,,
2331,Habenaria mannii Hook.f.,Habenaria,mannii Hook.f.,,,,,,
583,Cleistes montana Gardner,Cleistes,montana Gardner,,,,,,
595,Cleistes rosea Lindl.,Cleistes,rosea Lindl.,,,,,,
596,Cleistes rosea Lindl. var. augusta (Hoehne) J. A. N. Bat. & Pansarin,Cleistes,rosea Lindl.,,,,,,
597,Cleistes rosea Lindl. var. buenaventurae (Szlach. & Kolan.) J. A. N. Bat. & C. Castro,Cleistes,rosea Lindl.,,,,,,
28497,Oncidium malleiferum (Rchb.f.) M. W. Chase &amp; N. H. Williams,Oncidium,malleiferum,"",,"",,,
32575,Epidendrum glossoclinium H&aacute;gsater &amp; Dodson,Epidendrum,glossoclinium,"",,"",,,
33482,Epidendrum schmidtchenii H&aacute;gsater &amp; E. Santiago,Epidendrum,schmidtchenii,"",,"",,,
17206,Dendrobium crenatilobum (P. O'Byrne &amp; J. J. Verm.) Schuit. &amp; Peter B. Adams,Dendrobium,crenatilobum,"",,"",,,
32356,Epidendrum cuneatoides Dodson ex H&aacute;gsater,Epidendrum,cuneatoides,"",,"",,,
33284,Epidendrum pomacochense H&aacute;gsater,Epidendrum,pomacochense,"",,"",,,
8141,Vanilla capixaba Fraga &amp; D. R. Couto,Vanilla,capixaba,"",,"",,,
32827,Epidendrum linderi H&aacute;gsater &amp; E. Santiago,Epidendrum,linderi,"",,"",,,
20062,Bulbophyllum pulcherissimum H. Jiang,Bulbophyllum,pulcherissimum,"",,"",,,
33732,Epidendrum villahermosaense Sierra-Ariza &amp; H&aacute;gsater,Epidendrum,villahermosaense,"",,"",,,
33170,Epidendrum paniculatum Ruiz &amp; Pav.,Epidendrum,paniculatum,"",,"",,,
18411,Dendrobium villosulum Wall. ex Lindl.,Dendrobium,villosulum,"",,"",,,
32837,Epidendrum lloense (Lindl.) H&aacute;gsater &amp; Dodson,Epidendrum,lloense,"",,"",,,
20595,Bulbophyllum wightii Rchb.f.,Bulbophyllum,wightii,"",,"",,,
19539,Bulbophyllum linearilabium J. J. Sm.,Bulbophyllum,linearilabium,"",,"",,,
30175,Maxillaria rauhii D. E. Benn. &amp; Christenson,Maxillaria,rauhii,"",,"",,,
20619,Bulbophyllum xanthum Ridl.,Bulbophyllum,xanthum,"",,"",,,
17683,Dendrobium lobatum (Blume) Miq.,Dendrobium,lobatum,"",,"",,,
30332,Maxillaria xanthorhoda Schltr.,Maxillaria,xanthorhoda,"",,"",,,
1620,Herminium gongshanense X. H. Jin,Herminium,gongshanense X.,,,,,,
32351,Epidendrum cucullatum Lindl.,Epidendrum,cucullatum,"",,"",,,
32205,Epidendrum carvalhoi Toscano,Epidendrum,carvalhoi,"",,"",,,
32735,Epidendrum jessupiorum H&aacute;gsater &amp; Dodson,Epidendrum,jessupiorum,"",,"",,,
18303,Dendrobium tenuicaule Hook.f.,Dendrobium,tenuicaule,"",,"",,,
19413,Bulbophyllum josephi (Kuntze) Summerh.,Bulbophyllum,josephi,"",,"",,,
32633,Epidendrum herrenhusanum H&aacute;gsater,Epidendrum,herrenhusanum,"",,"",,,
32014,Epidendrum aquaticum Lindl.,Epidendrum,aquaticum,"",,"",,,
40157,Pleurothallis quaternaria Luer,Pleurothallis,quaternaria,"",,"",,,
29843,Maxillaria divitiflora Rchb.f.,Maxillaria,divitiflora,"",,"",,,
17631,Dendrobium lageniforme J. J. Sm.,Dendrobium,lageniforme,"",,"",,,
25391,Vanda lamellata Lindl.,Vanda,lamellata,"",,"",,,
26697,Cymbidium munronianum King &amp; Pantl.,Cymbidium,munronianum,"",,"",,,
30007,Maxillaria machupicchuensis Christenson &amp; N. Salinas,Maxillaria,machupicchuensis,"",,"",,,
28336,Oncidium aristuliferum (Kraenzl.) M. W. Chase &amp; N. H. Williams,Oncidium,aristuliferum,"",,"",,,
39805,Pleurothallis calceolaris Rchb.f.,Pleurothallis,calceolaris,"",,"",,,
18854,Bulbophyllum coccinatum H. Perrier,Bulbophyllum,coccinatum,"",,"",,,
18265,Dendrobium subquadratum J. J. Sm.,Dendrobium,subquadratum,"",,"",,,
30201,Maxillaria sanguinolenta (Lindl.) C. Schweinf.,Maxillaria,sanguinolenta,"",,"",,,
19755,Bulbophyllum nabawanense J. J. Wood &amp; A. Lamb,Bulbophyllum,nabawanense,"",,"",,,
40037,Pleurothallis lynniana (Luer) Pfahl,Pleurothallis,lynniana,"",,"",,,
20264,Bulbophyllum sempiternum Ames,Bulbophyllum,sempiternum,"",,"",,,
33291,Epidendrum porphyrostachyum H&aacute;gsater &amp; E. Santiago,Epidendrum,porphyrostachyum,"",,"",,,
20140,Bulbophyllum rhodosepalum Schltr.,Bulbophyllum,rhodosepalum,"",,"",,,
31976,Epidendrum anchinocturnum H&aacute;gsater,Epidendrum,anchinocturnum,"",,"",,,
34348,Cattleya munchowiana (F. E. L. Miranda) Van den Berg,Cattleya,munchowiana,"",,"",,,
32243,Epidendrum chloidophyllum Rchb.f. ex H&aacute;gsater &amp; Dodson,Epidendrum,chloidophyllum,"",,"",,,
19069,Bulbophyllum elevatopunctatum J. J. Sm.,Bulbophyllum,elevatopunctatum,"",,"",,,
28608,Oncidium subnivalis (Szlach. &amp; Kolan.) J. M. H. Shaw,Oncidium,subnivalis,"",,"",,,
686,Vanilla angustipetala Schltr.,Vanilla,angustipetala Schltr.,,,,,,
711,Vanilla claviculata (Sw.) Sw.,Vanilla,claviculata Sw.,,,,,,
15221,Epipactis purpurata Sm.,Epipactis,purpurata,"",,"",,,
3004,Holothrix exilis Lindl.,Holothrix,exilis Lindl.,,,,,,
19289,Bulbophyllum helenae (Kuntze) J. J. Sm.,Bulbophyllum,helenae,"",,"",,,
17875,Dendrobium omissum Schuit. &amp; Peter B. Adams,Dendrobium,omissum,"",,"",,,
30163,Maxillaria purpureolabia D. E. Benn. &amp; Christenson,Maxillaria,purpureolabia,"",,"",,,
33622,Epidendrum tessmannii Mansf.,Epidendrum,tessmannii,"",,"",,,
40135,Pleurothallis pileata Luer &amp; R. Escobar,Pleurothallis,pileata,"",,"",,,
40294,Pleurothallis villahermosae Sierra-Ariza,Pleurothallis,villahermosae,"",,"",,,
32850,Epidendrum luceroae J. S. Moreno,Epidendrum,luceroae,"",,"",,,
17939,Dendrobium pedilochilum Schltr.,Dendrobium,pedilochilum,"",,"",,,
29965,Maxillaria kautskyi Pabst,Maxillaria,kautskyi,"",,"",,,
20522,Bulbophyllum unciniferum Seidenf.,Bulbophyllum,unciniferum,"",,"",,,
39884,Pleurothallis dejavu Luer &amp; Hirtz,Pleurothallis,dejavu,"",,"",,,
32301,Epidendrum concavitridentes H&aacute;gsater,Epidendrum,concavitridentes,"",,"",,,
25491,Phalaenopsis equestris (Schauer) Rchb.f.,Phalaenopsis,equestris,"",,"",,,
20347,Bulbophyllum stenorhopalon Schltr.,Bulbophyllum,stenorhopalon,"",,"",,,
28602,Oncidium stelligerum Rchb.f.,Oncidium,stelligerum,"",,"",,,
39994,Pleurothallis jaculifera Luer &amp; R. Escobar,Pleurothallis,jaculifera,"",,"",,,
18276,Dendrobium summerhayesianum A. D. Hawkes &amp; A. H. Heller,Dendrobium,summerhayesianum,"",,"",,,
17427,Dendrobium globiflorum Schltr.,Dendrobium,globiflorum,"",,"",,,
32600,Epidendrum guanacastense Ames &amp; C. Schweinf.,Epidendrum,guanacastense,"",,"",,,
19627,Bulbophyllum mamasaense Wibowo,Bulbophyllum,mamasaense,"",,"",,,
19538,Bulbophyllum linearifolium King &amp; Pantl.,Bulbophyllum,linearifolium,"",,"",,,
25429,Vanda x emiliae Motes,Vanda,x,"",,"",,,
20605,Bulbophyllum wuzhishanense X. H. Jin,Bulbophyllum,wuzhishanense,"",,"",,,
28413,Oncidium fuchsii K&ouml;niger,Oncidium,fuchsii,"",,"",,,
39992,Pleurothallis isthmica Luer,Pleurothallis,isthmica,"",,"",,,
19184,Bulbophyllum fukuyamae Tuyama,Bulbophyllum,fukuyamae,"",,"",,,
28458,Oncidium iricolor Rchb.f.,Oncidium,iricolor,"",,"",,,
18882,Bulbophyllum conchidioides Ridl.,Bulbophyllum,conchidioides,"",,"",,,
18319,Dendrobium tiongii Cootes,Dendrobium,tiongii,"",,"",,,
1621,Herminium gracile King & Pantl.,Herminium,gracile King,,,,,,
744,Vanilla inodora Schiede,Vanilla,inodora Schiede,,,,,,
1622,Herminium handelii X. H. Jin,Herminium,handelii X.,,,,,,
773,Vanilla planifolia Andrews,Vanilla,planifolia Andrews,,,,,,
794,Vanilla siamensis Rolfe ex Downie,Vanilla,siamensis Rolfe,,,,,,
28645,Oncidium wallisoides M. W. Chase &amp; N. H. Williams,Oncidium,wallisoides,"",,"",,,
32522,Epidendrum fortunae H&aacute;gsater &amp; Dressler,Epidendrum,fortunae,"",,"",,,
19268,Bulbophyllum habrotinum J. J. Verm. &amp; A. Lamb,Bulbophyllum,habrotinum,"",,"",,,
32657,Epidendrum huamboense H&aacute;gsater,Epidendrum,huamboense,"",,"",,,
25323,Aerides sukauensis Shim,Aerides,sukauensis,"",,"",,,
33211,Epidendrum peperomioides Schltr.,Epidendrum,peperomioides,"",,"",,,
30284,Maxillaria truncatilabia Schltr.,Maxillaria,truncatilabia,"",,"",,,
17399,Dendrobium fulgescens J. J. Sm.,Dendrobium,fulgescens,"",,"",,,
19168,Bulbophyllum foraminiferum J. J. Verm.,Bulbophyllum,foraminiferum,"",,"",,,
20258,Bulbophyllum seidenfadenii A. D. Kerr,Bulbophyllum,seidenfadenii,"",,"",,,
17287,Dendrobium diceras Schltr.,Dendrobium,diceras,"",,"",,,
32996,Epidendrum montiargentatum H&aacute;gsater,Epidendrum,montiargentatum,"",,"",,,
18209,Dendrobium somae Hayata,Dendrobium,somae,"",,"",,,
28618,Oncidium tetrotis Rchb. f,Oncidium,tetrotis,"",,"",,,
17515,Dendrobium hymenanthum Rchb.f.,Dendrobium,hymenanthum,"",,"",,,
17790,Dendrobium morio P. O'Byrne,Dendrobium,morio,"",,"",,,
26696,Cymbidium motuoense W. Q. Hu,Cymbidium,motuoense,"",,"",,,
26698,Cymbidium nanulum Y. S. Wu &amp; S. C. Chen,Cymbidium,nanulum,"",,"",,,
16930,Dendrobium aliciae Ames &amp; Quisumb.,Dendrobium,aliciae,"",,"",,,
34286,Cattleya crispa Lindl.,Cattleya,crispa,"",,"",,,
34361,Cattleya pfisteri (Pabst &amp; Senghas) Van den Berg,Cattleya,pfisteri,"",,"",,,
25342,Vanda alpina (Lindl.) Lindl.,Vanda,alpina,"",,"",,,
18003,Dendrobium praecinctum Rchb.f.,Dendrobium,praecinctum,"",,"",,,
16987,Dendrobium asphale Rchb.f.,Dendrobium,asphale,"",,"",,,
17864,Dendrobium ochreatum Lindl.,Dendrobium,ochreatum,"",,"",,,
28383,Oncidium croatii (Szlach. &amp; Kolan.) J. M. H. Shaw,Oncidium,croatii,"",,"",,,
18078,Dendrobium reginanivis P. O'Byrne &amp; J. J. Verm.,Dendrobium,reginanivis,"",,"",,,
19479,Bulbophyllum lasiopetalum Kraenzl.,Bulbophyllum,lasiopetalum,"",,"",,,
28691,Oncidium zimmermannianum (K&ouml;niger) J. M. H. Shaw,Oncidium,zimmermannianum,"",,"",,,
26686,Cymbidium kanran Makino,Cymbidium,kanran,"",,"",,,
17955,Dendrobium petrophilum (Kraenzl.) Garay ex N. Hall&eacute;,Dendrobium,petrophilum,"",,"",,,
17973,Dendrobium platyclinoides J. J. Sm.,Dendrobium,platyclinoides,"",,"",,,
28471,Oncidium lehmannii (Rchb.f.) M. W. Chase &amp; N. H. Williams,Oncidium,lehmannii,"",,"",,,
28446,Oncidium hintonii L. O. Williams,Oncidium,hintonii,"",,"",,,
16899,Dendrobium acanthophippiiflorum J. J. Sm.,Dendrobium,acanthophippiiflorum,"",,"",,,
28445,Oncidium hieroglyphicum Rchb.f. &amp; Warsz.,Oncidium,hieroglyphicum,"",,"",,,
34452,Cattleya x labendziana L. C. Menezes &amp; Braem,Cattleya,x,"",,"",,,
17868,Dendrobium odontochilum Rchb.f.,Dendrobium,odontochilum,"",,"",,,
17611,Dendrobium kontumense Gagnep.,Dendrobium,kontumense,"",,"",,,
17321,Dendrobium ellipsophyllum Tang &amp; F. T. Wang,Dendrobium,ellipsophyllum,"",,"",,,
26663,Cymbidium dayanum Rchb.f.,Cymbidium,dayanum,"",,"",,,
17487,Dendrobium heterobulbum Schltr.,Dendrobium,heterobulbum,"",,"",,,
34492,Cattleya x venosa Rolfe,Cattleya,x,"",,"",,,
28519,Oncidium neovierlingii J. M. H. Shaw,Oncidium,neovierlingii,"",,"",,,
699,Vanilla borneensis Rolfe,Vanilla,borneensis Rolfe,,,,,,
17298,Dendrobium disoides Schltr.,Dendrobium,disoides,"",,"",,,
750,Vanilla kinabaluensis Carr,Vanilla,kinabaluensis Carr,,,,,,
18334,Dendrobium trankimianum T. Yukawa,Dendrobium,trankimianum,"",,"",,,
18457,Dendrobium x tungchii N. H. Tuan,Dendrobium,x,"",,"",,,
26741,Cymbidium x malipoense L. J. Chen,Cymbidium,x,"",,"",,,
34488,Cattleya x sororia Rchb.f.,Cattleya,x,"",,"",,,
17545,Dendrobium integrilabium J. J. Sm.,Dendrobium,integrilabium,"",,"",,,
17490,Dendrobium heteroideum Blume,Dendrobium,heteroideum,"",,"",,,
18243,Dendrobium stratiotes Rchb.f.,Dendrobium,stratiotes,"",,"",,,
17233,Dendrobium curvum Ridl.,Dendrobium,curvum,"",,"",,,
3495,Ophrys scolopax Cav.,Ophrys,scolopax Cav.,,,,,,
17111,Dendrobium carnicarinum Kores,Dendrobium,carnicarinum,"",,"",,,
34485,Cattleya x schunkiana Campacci,Cattleya,x,"",,"",,,
28400,Oncidium durangense H&aacute;gsater,Oncidium,durangense,"",,"",,,
18374,Dendrobium unicarinatum Kores,Dendrobium,unicarinatum,"",,"",,,
17775,Dendrobium modestum Rchb.f.,Dendrobium,modestum,"",,"",,,
17245,Dendrobium cymbiforme Rolfe,Dendrobium,cymbiforme,"",,"",,,
28688,Oncidium x wilckeanum (Rchb.f.) M. W. Chase &amp; N. H. Williams,Oncidium,x,"",,"",,,
17020,Dendrobium basifixum de Vogel,Dendrobium,basifixum,"",,"",,,
18101,Dendrobium rindjaniense J. J. Sm.,Dendrobium,rindjaniense,"",,"",,,
32407,Epidendrum dialyrhombicum H&aacute;gsater &amp; Dodson,Epidendrum,dialyrhombicum,"",,"",,,
19349,Bulbophyllum imbricans J. J. Sm.,Bulbophyllum,imbricans,"",,"",,,
33509,Epidendrum sigsigense H&aacute;gsater &amp; Dodson,Epidendrum,sigsigense,"",,"",,,
20016,Bulbophyllum polycyclum J. J. Verm.,Bulbophyllum,polycyclum,"",,"",,,
28319,Oncidium alberti (P. Ortiz) M. W. Chase &amp; N. H. Williams,Oncidium,alberti,"",,"",,,
20242,Bulbophyllum schizopetalum L. O. Williams,Bulbophyllum,schizopetalum,"",,"",,,
17714,Dendrobium macranthum A. Rich.,Dendrobium,macranthum,"",,"",,,
34289,Cattleya dacruzii (Rosim &amp; Campacci) Van den Berg,Cattleya,dacruzii,"",,"",,,
32708,Epidendrum intermixtum Ames &amp; C. Schweinf.,Epidendrum,intermixtum,"",,"",,,
18935,Bulbophyllum cumingii (Lindl.) Rchb.f.,Bulbophyllum,cumingii,"",,"",,,
17281,Dendrobium derryi Ridl.,Dendrobium,derryi,"",,"",,,
16901,Dendrobium aciculare Lindl.,Dendrobium,aciculare,"",,"",,,
28402,Oncidium eliae (Rolfe) M. W. Chase &amp; N. H. Williams,Oncidium,eliae,"",,"",,,
34475,Cattleya x patrocinii St.-L&eacute;g.,Cattleya,x,"",,"",,,
18081,Dendrobium remotisepalum J. J. Sm.,Dendrobium,remotisepalum,"",,"",,,
18272,Dendrobium subuliferum J. J. Sm.,Dendrobium,subuliferum,"",,"",,,
707,Vanilla ceronii Dodson ex Szlach. & Kolan.,Vanilla,ceronii Dodson,,,,,,
18263,Dendrobium subpandifolium J. J. Sm.,Dendrobium,subpandifolium,"",,"",,,
17801,Dendrobium multistriatum J. J. Sm.,Dendrobium,multistriatum,"",,"",,,
17917,Dendrobium paragnomus Ormerod,Dendrobium,paragnomus,"",,"",,,
25355,Vanda christensoniana (Haager) L. M. Gardiner,Vanda,christensoniana,"",,"",,,
17738,Dendrobium margaretiae T. M. Reeve,Dendrobium,margaretiae,"",,"",,,
18215,Dendrobium spathipetalum J. J. Sm.,Dendrobium,spathipetalum,"",,"",,,
18274,Dendrobium sulcatum Lindl.,Dendrobium,sulcatum,"",,"",,,
17185,Dendrobium convexipes J. J. Sm.,Dendrobium,convexipes,"",,"",,,
15222,Epipactis royleana Lindl.,Epipactis,royleana,"",,"",,,
1693,Benthamia melanopoda Schltr.,Benthamia,melanopoda Schltr.,,,,,,
17466,Dendrobium hamiferum P. J. Cribb,Dendrobium,hamiferum,"",,"",,,
17237,Dendrobium cyanopterum Kraenzl.,Dendrobium,cyanopterum,"",,"",,,
28429,Oncidium guatemalenoides M. W. Chase &amp; N. H. Williams,Oncidium,guatemalenoides,"",,"",,,
34302,Cattleya gloedeniana (Hoehne) Van den Berg,Cattleya,gloedeniana,"",,"",,,
17329,Dendrobium equitans Kraenzl.,Dendrobium,equitans,"",,"",,,
17384,Dendrobium flexile Ridl.,Dendrobium,flexile,"",,"",,,
782,Vanilla ramosa Rolfe,Vanilla,ramosa Rolfe,,,,,,
28672,Oncidium x limbatum (Rchb.f.) M. W. Chase &amp; N. H. Williams,Oncidium,x,"",,"",,,
34266,Cattleya alvaroana (F. E. L. Miranda) Van den Berg,Cattleya,alvaroana,"",,"",,,
18381,Dendrobium utile J. J. Sm.,Dendrobium,utile,"",,"",,,
25356,Vanda coelestis (Rchb.f.) Motes,Vanda,coelestis,"",,"",,,
25406,Vanda nana L. M. Gardiner,Vanda,nana,"",,"",,,
28529,Oncidium odoratum (Lindl.) Beer,Oncidium,odoratum,"",,"",,,
25361,Vanda cristata Wall. ex Lindl.,Vanda,cristata,"",,"",,,
34395,Cattleya wallisii (Linden) Rollisson,Cattleya,wallisii,"",,"",,,
34487,Cattleya x sgarbii (Ruschi) Van den Berg,Cattleya,x,"",,"",,,
17459,Dendrobium habbemense P. Royen,Dendrobium,habbemense,"",,"",,,
28479,Oncidium liebmannii Rchb.f. ex Kraenzl.,Oncidium,liebmannii,"",,"",,,
18427,Dendrobium wardianum R. Warner,Dendrobium,wardianum,"",,"",,,
28543,Oncidium papilioides M. W. Chase &amp; N. H. Williams,Oncidium,papilioides,"",,"",,,
28320,Oncidium albicans K&ouml;niger,Oncidium,albicans,"",,"",,,
17692,Dendrobium lomatochilum Seidenf.,Dendrobium,lomatochilum,"",,"",,,
8190,Vanilla methonica Rchb.f. &amp; Warsz.,Vanilla,methonica,"",,"",,,
25562,Phalaenopsis zhejiangensis (Z. H. Tsi) Schuit.,Phalaenopsis,zhejiangensis,"",,"",,,
34261,Cattleya acuensis (Fowlie) Van den Berg,Cattleya,acuensis,"",,"",,,
17860,Dendrobium obtusum Schltr.,Dendrobium,obtusum,"",,"",,,
34328,Cattleya lobata Lindl.,Cattleya,lobata,"",,"",,,
17976,Dendrobium platyphyllum Schltr.,Dendrobium,platyphyllum,"",,"",,,
17535,Dendrobium incurvociliatum J. J. Sm.,Dendrobium,incurvociliatum,"",,"",,,
28482,Oncidium lindleyoides M. W. Chase &amp; N. H. Williams,Oncidium,lindleyoides,"",,"",,,
28590,Oncidium saxicola Schltr.,Oncidium,saxicola,"",,"",,,
28633,Oncidium unguiculatum Lindl.,Oncidium,unguiculatum,"",,"",,,
17733,Dendrobium mamasaense P. O'Byrne &amp; J. J. Verm.,Dendrobium,mamasaense,"",,"",,,
18175,Dendrobium serratilabium L. O. Williams,Dendrobium,serratilabium,"",,"",,,
28627,Oncidium trimorion (K&ouml;niger) M. W. Chase &amp; N. H. Williams,Oncidium,trimorion,"",,"",,,
17985,Dendrobium podochiloides Schltr.,Dendrobium,podochiloides,"",,"",,,
28357,Oncidium bryolophotum Rchb.f.,Oncidium,bryolophotum,"",,"",,,
34299,Cattleya fournieri (Cogn.) Van den Berg,Cattleya,fournieri,"",,"",,,
28525,Oncidium oblongatum Lindl.,Oncidium,oblongatum,"",,"",,,
28372,Oncidium citrinum Lindl.,Oncidium,citrinum,"",,"",,,
28343,Oncidium auroincarum (Dalstr&ouml;m &amp; Ru&iacute;z P&eacute;rez) J. M. H. Shaw,Oncidium,auroincarum,"",,"",,,
17686,Dendrobium loddigesii Rolfe,Dendrobium,loddigesii,"",,"",,,
1694,Benthamia misera (Ridl.) Schltr.,Benthamia,misera Ridl.,,,,,,
18200,Dendrobium sinuosum Ames,Dendrobium,sinuosum,"",,"",,,
17727,Dendrobium maidenianum Schltr.,Dendrobium,maidenianum,"",,"",,,
7860,Myrosmodes Rchb.f.,Myrosmodes,Rchb.f.,,,,,,
842,Selenipedium vanillocarpum Barb. Rodr.,Selenipedium,vanillocarpum Barb.,,,,,,
18246,Dendrobium strepsiceros J. J. Sm.,Dendrobium,strepsiceros,"",,"",,,
32023,Epidendrum ariasii H&aacute;gsater &amp; Dodson,Epidendrum,ariasii,"",,"",,,
32463,Epidendrum envigadoense H&aacute;gsater,Epidendrum,envigadoense,"",,"",,,
843,Cypripedium L.,Cypripedium,L.,,,,,,
844,Cypripedium acaule Aiton,Cypripedium,acaule Aiton,,,,,,
846,Cypripedium bardolphianum W. W. Sm. & Farrer,Cypripedium,bardolphianum W.,,,,,,
848,Cypripedium calcicola Schltr.,Cypripedium,calcicola Schltr.,,,,,,
15677,Triphora foldatsii Carnevali,Triphora,foldatsii,"",,"",,,
850,Cypripedium candidum Muhl. ex Willd.,Cypripedium,candidum Muhl.,,,,,,
851,Cypripedium conzattianum R. González & Lizb. Hern.,Cypripedium,conzattianum R.,,,,,,
881,Cypripedium parviflorum Salisb.,Cypripedium,parviflorum Salisb.,,,,,,
25659,Acampe joiceyana (J. J. Sm.) Seidenf.,Acampe,joiceyana,"",,"",,,
6639,Achlydosa glandulosa (Schltr.) M. A. Clem. & D. L. Jones,Achlydosa,glandulosa Schltr.,,,,,,
35355,Acianthera tokachii (Luer) Luer,Acianthera,tokachii,"",,"",,,
35362,Acianthera variegata (Barb. Rodr.) Campacci,Acianthera,variegata,"",,"",,,
31168,Acineta alticola C. Schweinf.,Acineta,alticola,"",,"",,,
24573,Aerangis monantha Schltr.,Aerangis,monantha,"",,"",,,
24577,Aerangis pallidiflora H. Perrier,Aerangis,pallidiflora,"",,"",,,
24582,Aerangis seegeri Senghas,Aerangis,seegeri,"",,"",,,
24385,Aeranthes africana J. Stewart,Aeranthes,africana,"",,"",,,
24388,Aeranthes angustidens H. Perrier,Aeranthes,angustidens,"",,"",,,
24389,Aeranthes antennophora H. Perrier,Aeranthes,antennophora,"",,"",,,
24399,Aeranthes ecalcarata H. Perrier,Aeranthes,ecalcarata,"",,"",,,
24403,Aeranthes leandriana Bosser,Aeranthes,leandriana,"",,"",,,
24404,Aeranthes moratii Bosser,Aeranthes,moratii,"",,"",,,
24405,Aeranthes multinodis Bosser,Aeranthes,multinodis,"",,"",,,
24410,Aeranthes parkesii G. Will.,Aeranthes,parkesii,"",,"",,,
24411,Aeranthes parvula Schltr.,Aeranthes,parvula,"",,"",,,
24412,Aeranthes peyrotii Bosser,Aeranthes,peyrotii,"",,"",,,
24413,Aeranthes polyanthemus Ridl.,Aeranthes,polyanthemus,"",,"",,,
24420,Aeranthes setipes Schltr.,Aeranthes,setipes,"",,"",,,
24425,Aeranthes tropophila Bosser,Aeranthes,tropophila,"",,"",,,
31007,Aganisia pulchella Lindl.,Aganisia,pulchella,"",,"",,,
31437,Agrostophyllum cyathiforme J. J. Sm.,Agrostophyllum,cyathiforme,"",,"",,,
31473,Agrostophyllum laterale J. J. Sm.,Agrostophyllum,laterale,"",,"",,,
7857,Altensteinia longispicata C. Schweinf.,Altensteinia,longispicata C.,,,,,,
35611,Anathallis funerea (Barb. Rodr.) Luer,Anathallis,funerea,"",,"",,,
35624,Anathallis humilis (C. Schweinf.) Luer,Anathallis,humilis,"",,"",,,
35630,Anathallis kleinii (Pabst) Luer,Anathallis,kleinii,"",,"",,,
35653,Anathallis nanifolia (Foldats) Luer,Anathallis,nanifolia,"",,"",,,
24736,Ancistrorhynchus laxiflorus Mansf.,Ancistrorhynchus,laxiflorus,"",,"",,,
24740,Ancistrorhynchus parviflorus Summerh.,Ancistrorhynchus,parviflorus,"",,"",,,
24743,Ancistrorhynchus refractus (Kraenzl.) Summerh.,Ancistrorhynchus,refractus,"",,"",,,
24747,Ancistrorhynchus tenuicaulis Summerh.,Ancistrorhynchus,tenuicaulis,"",,"",,,
